"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CASKIN1",3.61725812368746,-3.66332377985319,0.569629902102727,1.08229504557372e-11,4.67301162606398e-11
"DDIT4",1164.07886669197,-1.58415855048733,0.239363551626707,1.08550692643811e-11,4.68593553964712e-11
"DNM1",2364.33627341669,-1.34327529482926,0.199462501449401,1.09002471229861e-11,4.70354331763561e-11
"CDC34",316.688927938967,-1.14998049079339,0.172272101699409,1.09107370702801e-11,4.70712213420519e-11
"MCM10",40.0542587331948,1.92162514826335,0.290943348829875,1.09196445644499e-11,4.7100169440502e-11
"ITPKA",9.08221308578681,-1.97346597811573,0.304090692659374,1.13108956478695e-11,4.86995633629544e-11
"LOH11CR1I",689.977458371517,-1.02415294081816,0.152826030117589,1.13974762894994e-11,4.90624842966139e-11
"BC053580",4.43843815575685,-5.87344387123156,0.903909938422356,1.14268760090323e-11,4.91692900023267e-11
"TSNAXIP1",29.0639163522504,-1.19851703444843,0.180777802840145,1.15285262136917e-11,4.95668811109436e-11
"PCDHGA2",119.847340526462,-1.5772698780579,0.238636274659768,1.15514749439662e-11,4.96555881416019e-11
"NOVA2",32.4711606138177,-1.99625971409593,0.304800447951176,1.1607567631469e-11,4.98867048416434e-11
"TEAD3",236.639768402556,-1.36780215340439,0.206600186872387,1.17946507380772e-11,5.06704247883761e-11
"CR627148",92.2958730704087,1.50331262468599,0.227722629929573,1.18379239748848e-11,5.08359496200571e-11
"ACACB",2539.49664747582,-1.82841646698024,0.277942896231097,1.1898186554567e-11,5.1064043336811e-11
"C19orf24",163.361660731622,-1.37482450020659,0.2073453990613,1.18960452069728e-11,5.1064043336811e-11
"BC048278",36.0360415852152,-1.84975424975102,0.282424200495211,1.23122101617164e-11,5.27775200792136e-11
"PPP1R15A",1434.16896822685,-1.07174561886368,0.160653703640553,1.23318099117813e-11,5.28509661746067e-11
"CYP2D7P1",35.389280966082,-1.48965433699441,0.226121877874505,1.2398737792954e-11,5.3127178551856e-11
"OXCT2",45.3607592252943,-2.26596598162137,0.347190041520403,1.24491836304074e-11,5.33278449325455e-11
"WDR18",178.502726618418,-1.10778609295424,0.166294802400636,1.24505452359659e-11,5.33278449325455e-11
"FAM225A",386.957275496941,-1.24282056945671,0.186494850804921,1.25621499458821e-11,5.37843707131626e-11
"TCRBV5S1A1T",10.6642357650317,3.40323057478649,0.527044063703283,1.26674976259416e-11,5.42245809100872e-11
"SBK1",41.1294738497771,-2.33139661210808,0.356751135733458,1.28777791705081e-11,5.50917047827344e-11
"PRH2",19.1283064697943,-6.47520740741527,0.992275021168398,1.28945850498301e-11,5.51525925709456e-11
"NCEH1",1265.63867560352,1.27355397239665,0.193168214300588,1.29442221087628e-11,5.53428111823487e-11
"TMEM110-MUSTN1",104.695881003578,-3.06736490532016,0.471668505121167,1.30789056890414e-11,5.58963480823977e-11
"SOBP",636.666250586332,-1.00652119946994,0.150895794393263,1.30816521397776e-11,5.58969398548351e-11
"IGH@",501.086589837073,4.26850795349245,0.697935456489794,1.31990017814544e-11,5.63758878401578e-11
"SNORA72",39.1630435585434,-2.71764900992288,0.41914647399265,1.32588011422551e-11,5.66200208969822e-11
"MAPK8IP1",203.900417282534,-1.41616855335103,0.215566517991127,1.32740184226824e-11,5.66737125205879e-11
"PRRT1",25.1492578492273,-1.86350232531269,0.284701123921666,1.3361890680904e-11,5.70375229961793e-11
"AX748230",5.01411298300928,-3.06073070585882,0.477659384932936,1.35046086835922e-11,5.76200330256637e-11
"FKBP6",3.80952411712747,-4.77302727721392,0.746874346705591,1.35064174833637e-11,5.76200330256637e-11
"NGFR",491.478884063837,-1.90830120455048,0.290560879883848,1.36269508498653e-11,5.80995499433385e-11
"NPC1L1",8.6749678680911,-2.0161578574136,0.307171550342578,1.36419084543054e-11,5.81517549524917e-11
"MAGIX",16.3671001592825,-1.47440481536709,0.22551304895987,1.37776117436614e-11,5.8706869284671e-11
"KLRG1",93.9304256698959,1.55301384160791,0.236105085810104,1.38299066542376e-11,5.89179863486931e-11
"TREML2",43.075713913635,2.33008317948121,0.361308099109523,1.39153829735291e-11,5.92703504116951e-11
"CDC45",22.2886932947728,2.17825126244475,0.338055281155678,1.41394072244306e-11,6.02006188004015e-11
"FMNL1",1830.70381896193,-1.1439458310923,0.172306095597938,1.44060714532657e-11,6.13116222116451e-11
"RIN3",940.342392949603,-1.10482498195017,0.166164595740292,1.44847114620717e-11,6.1634072020366e-11
"TRAF2",243.574764986492,-1.20922046522526,0.182580137204787,1.46057873112796e-11,6.21369272414959e-11
"IGF1R",2030.02537675604,-1.03149750378692,0.155083851499121,1.49748377730829e-11,6.3656425622865e-11
"HEATR7A",80.0573707494037,-4.88071273059251,0.751376700094704,1.49785038083145e-11,6.36593837246887e-11
"CACNA1G",43.3708544236849,-2.31748602623123,0.356838329301813,1.50052259393306e-11,6.37476724594002e-11
"C1orf204",52.2764373130808,-1.09572142598583,0.164618391775352,1.50908099821369e-11,6.40985593236505e-11
"POF1B",22.4542257157065,4.10344055378421,0.45695125504425,1.53672872938765e-11,6.52212016969612e-11
"FADS3",449.181979916219,-1.03784819429861,0.156036660062875,1.53843218147142e-11,6.52805720559828e-11
"LINC00612",13.1681765931531,-2.34993961959136,0.364227743403089,1.54517346632515e-11,6.55277065764678e-11
"PLEKHG6",50.6391171104475,-3.05864888198107,0.473061436124991,1.54932981415863e-11,6.56909711312797e-11
"SEC14L5",43.8228076262711,-2.10422035450959,0.322742038072657,1.56001469262715e-11,6.61309234712772e-11
"C9orf24",9.52099367203316,-1.56662162810232,0.237667725286242,1.57573846136973e-11,6.67578621121516e-11
"AK095132",8.67375668066999,-2.19544271611431,0.342254614169471,1.578562339241e-11,6.68642818516843e-11
"SF3B14",763.432582416637,1.06728964483323,0.161924466811879,1.5797753914546e-11,6.69024421360331e-11
"CDC20",46.3833854115007,2.02924480235393,0.316867536673053,1.59764438240218e-11,6.76324551610228e-11
"EBF4",41.0100935097737,-2.06052275262882,0.318534944201882,1.60716488672082e-11,6.80220478220523e-11
"PAX8",136.104277880753,-1.58530107064519,0.241878859310314,1.6195562184025e-11,6.85194402467838e-11
"GPT",37.0797201019668,-3.30006992980167,0.510481500089406,1.63011063481643e-11,6.89523608368275e-11
"BC044305",25.0065429749465,-1.83121612160491,0.282816858843605,1.65593153492943e-11,6.99755137778835e-11
"ADORA1",91.4290897779087,-1.52294312702408,0.231904121943356,1.65686823168104e-11,6.99874986393766e-11
"AMT",210.947838415552,-1.21032477680475,0.182961896309935,1.67476579289185e-11,7.07156328586505e-11
"IFI44",1391.39281286183,1.39829178684875,0.213995818824391,1.68265946242805e-11,7.10349424034281e-11
"AX747817",133.027078830696,-1.62666246615067,0.248586993496451,1.68387736020229e-11,7.10723581355175e-11
"BATF",71.67111416524,1.85409142705278,0.287966184598563,1.70287138144869e-11,7.18598982449099e-11
"GAL3ST1",3.06894065949842,-2.62076061870434,0.41761129529053,1.70836551213441e-11,7.2076800339244e-11
"CCNB2",60.5742162011318,1.95228857168529,0.306956607364451,1.71337480432014e-11,7.22604529338716e-11
"FADS2",626.075158636558,-1.37962964822522,0.209824462691791,1.71390918899277e-11,7.22687697180446e-11
"IGSF9B",181.059562697546,-2.03928174536503,0.313183435734399,1.73286320133603e-11,7.30105307533616e-11
"C1orf65",4.67949417791615,-2.8523062214633,0.44392687230737,1.7491132875612e-11,7.36807096939842e-11
"AX746787",10.4335559595445,-1.95326670889715,0.301220475484903,1.76328533804282e-11,7.42485160123216e-11
"FAM92B",12.2206799104255,4.04005590173703,0.669650762047767,1.832485853442e-11,7.71043396726593e-11
"PIK3AP1",2390.48038888379,1.11219909789735,0.169071929506003,1.83254563660023e-11,7.71043396726593e-11
"KIF2C",64.3999742946956,1.81547212826849,0.283133972386504,1.87399300700555e-11,7.88172922275311e-11
"EOMES",85.4234680240837,2.34496496307161,0.367226315787567,1.87474224225874e-11,7.88333342717905e-11
"FSCN2",18.7191093187405,-1.92830117703298,0.29780490126138,1.87713659024805e-11,7.88875853701696e-11
"LINC00313:ENSG00000185186",5.30470567077009,-2.42015146709946,0.379926789272355,1.8921061032808e-11,7.94388053116891e-11
"AX747832",54.6877486684637,2.23324795814084,0.348187699867889,1.94457010223177e-11,8.15935219286092e-11
"DKFZP434A062",5.56000632731556,-2.25163409871286,0.349732062575437,2.00596552840052e-11,8.40873443579277e-11
"FBXL16",34.5566261485176,-3.31085404937059,0.515927143115695,2.02683744040268e-11,8.49456528356487e-11
"CCL5",543.996230998693,1.93178809401459,0.301956642455078,2.0700899639441e-11,8.66059695436541e-11
"LGALS2",53.8756356884393,2.49655980939327,0.397288651799738,2.12348507284802e-11,8.87878571329528e-11
"TGM2",1138.91614126689,2.19120474332024,0.345450897137287,2.13294056144363e-11,8.91658183214771e-11
"IL17D",174.644591080443,-1.59766817857099,0.245770503145539,2.15238531963367e-11,8.99611438293847e-11
"YPEL3",689.45037149156,-1.00719914873176,0.152588790206138,2.16538098158467e-11,9.04690264684295e-11
"PGM2L1",1218.08985892513,1.06413256797987,0.16228645303993,2.17480416135637e-11,9.08450157675912e-11
"DSC3",22.8558219693379,7.47709764783767,0.729968663211776,2.17647967706974e-11,9.08972893971856e-11
"GPR15",17.7595134654441,4.76138858766456,0.706809036894911,2.18026614556576e-11,9.10376861443815e-11
"LINC00920:ENSG00000246898",31.81853021325,1.65134074635424,0.252311682947123,2.18281614966849e-11,9.11264093023858e-11
"GPR179",6.35106284807657,-2.1969697104135,0.344206404056632,2.2064281904601e-11,9.20583519683302e-11
"CD300LG",76.6145130408596,-2.71517852028011,0.422222544506534,2.2089289041759e-11,9.21447512713158e-11
"LINC00426",16.007932937832,2.77986941371841,0.431495196308551,2.25707130118082e-11,9.40980532935392e-11
"HLA-H",322.134797523319,-1.4751841737159,0.225892932998254,2.26571794614906e-11,9.44401647993247e-11
"PARP15",468.919214634946,1.36879383445352,0.210166268143059,2.26996210165652e-11,9.45986733906362e-11
"FDPSP2",27.6833148840239,-8.23708495976506,1.29212829908749,2.28539582193064e-11,9.52233449678062e-11
"U00684",4.9232314657524,-2.32852292987686,0.369336065059875,2.32731183406718e-11,9.68568437661396e-11
"RP11-638I8.1:ENSG00000272556",9.75738943731347,-2.52802269745887,0.39464317576202,2.35727320274049e-11,9.8084714724009e-11
"SNAPC2",183.951405352595,-1.03922403304615,0.157354284123322,2.37267962269492e-11,9.87066039464677e-11
"ANTXR1",6995.61928994957,-1.41344749448234,0.216697729881842,2.38607284561499e-11,9.92252605744395e-11
"RP11-1114A5.4:ENSG00000232611",140.547248162925,-1.0479395070038,0.157575488247667,2.44262523659641e-11,1.01498229344651e-10
"P4HA1",2177.85168597724,1.22121134722584,0.18756696196584,2.45414518010887e-11,1.01957149922995e-10
"RDH5",218.647642696508,-2.04679200350844,0.317110550185914,2.46462160704408e-11,1.02352712466142e-10
"FKBP10",3039.2481327019,-1.24732867991484,0.190638670933661,2.47237235775971e-11,1.02654701169826e-10
"AK021876",10.6113516141622,-1.84135336426237,0.288979830096948,2.47470771494532e-11,1.02730557502415e-10
"GNLY",53.6065929351404,2.16821359842781,0.340622656667099,2.47515792909284e-11,1.02730557502415e-10
"RP11-982M15.8:ENSG00000260792",10.503950873351,-1.90439089402091,0.293951639250496,2.49482233353236e-11,1.03506633903599e-10
"MRPL13",330.337390557471,1.05331197014999,0.161776849224948,2.51099959150024e-11,1.04157643206163e-10
"FLNA",31505.147820302,-1.03696962789132,0.157788387621487,2.51685209086434e-11,1.04360013278188e-10
"Em:AC005003.4",30.0083438605511,-1.11707283138633,0.172045697641989,2.52777174256461e-11,1.04792517907906e-10
"LOC728730",52.7956683399486,-1.00977287040661,0.15441478943653,2.54447258928915e-11,1.05444085472224e-10
"AK127609",11.6588516869117,-3.30782918464359,0.519517510227886,2.58725505863663e-11,1.0719628391989e-10
"UGT2B17",21.1091192020225,6.10824695224364,1.10419635227229,2.59392401631986e-11,1.07451823428263e-10
"BCL6",2200.18014028172,-1.10175569228532,0.167996901826886,2.61661904386697e-11,1.0835006948841e-10
"NEFL",12.3371220660249,3.31633358797224,0.580415833676362,2.6595222222386e-11,1.10105350182036e-10
"ANKRD36BP1",58.0915032705519,-9.11557489686983,1.41812185008017,2.66114491988136e-11,1.10151253510655e-10
"GATS",259.538954090971,-1.31212116968686,0.199764632178939,2.66440314539914e-11,1.1026482451311e-10
"CREG1",3349.98862464849,1.0123886500854,0.15481023385615,2.6692777324097e-11,1.10445230962813e-10
"RBFOX3",14.4765775744465,-9.32107174763149,1.55548252683903,2.68139979064849e-11,1.10925384506792e-10
"MTHFD2",1055.37779225425,1.11756625402982,0.172020309999766,2.68632810724686e-11,1.11107816137827e-10
"GPR18",46.785083451978,3.02011342586121,0.488595423348338,2.70535644641939e-11,1.11873248535803e-10
"AGER",100.784496823173,-1.31354938305637,0.202829161388123,2.73824523496331e-11,1.13167778868046e-10
"GDPD3",85.8642927669646,-1.18601468571273,0.181075849609294,2.7414685047784e-11,1.13279148762127e-10
"CD276",2087.15146287654,-1.22200501975596,0.187104799617873,2.74558120256934e-11,1.13405361176852e-10
"SERPINA1",1763.30217809819,1.71229674785262,0.268245169347571,2.81371965485804e-11,1.16197405322875e-10
"TVP23B",948.258933189641,1.10200825907881,0.168982032091337,2.83508882339335e-11,1.17025376227249e-10
"SLC25A5-AS1",21.1401077018121,-1.41253887470443,0.22003802887246,2.84398993473481e-11,1.17357020160129e-10
"GPX3",5063.03809432212,-1.52900508203904,0.235926207866221,2.84626592726564e-11,1.17428330354349e-10
"TTYH1",7.9094935871373,-4.66522944974281,0.732911364896766,2.8472217169791e-11,1.17445156004644e-10
"TREM1",1557.03427571421,1.84140738304081,0.289403811996755,2.86290539324184e-11,1.18069369431119e-10
"ADRA2B",43.8858145403123,-2.46669644806062,0.385532615920235,2.8916225412111e-11,1.19207820591994e-10
"SNORA5C",374.912833597436,-1.30046645683938,0.199685462330102,2.90189566834021e-11,1.19608326652953e-10
"RP11-474O21.5:ENSG00000272482",18.2110739315739,-1.81975315564295,0.289169183538006,2.91419657967371e-11,1.20069156655414e-10
"MAST2",1525.83506260858,-1.01087133129408,0.154197749053145,2.91739300291187e-11,1.20177751742091e-10
"MEGF6",1216.46178100741,-1.79851432331952,0.279092453700448,2.94618379552084e-11,1.21317112947931e-10
"AX748212",140.578963373048,-1.02541640199066,0.156542919758811,2.96421075579944e-11,1.22012539137794e-10
"NRG2",33.3829648535145,-1.3634474854174,0.208943502522295,2.98151043707407e-11,1.22653960072569e-10
"GALNT16",771.968753169423,-1.6056924634118,0.248396958191664,2.98308541354329e-11,1.22695201820137e-10
"CBWD5",244.341022695952,1.27042278119247,0.194653345538641,2.99068736813115e-11,1.22984271606207e-10
"RRAD",96.6303057471747,-2.43117404762368,0.380357878996046,3.06687575672648e-11,1.25972303744574e-10
"ARHGAP25",779.298841418254,1.17092445771853,0.180611945159611,3.11208431026838e-11,1.27731334779744e-10
"LCP2",804.03511614745,1.17468478813532,0.181312607190964,3.1460479304917e-11,1.29051187165988e-10
"AK307150",16.2037608968803,-1.56558143919397,0.24596699404453,3.17945699550717e-11,1.30371727156505e-10
"CRX",4.17833439077598,-3.99785686934531,0.649322309898458,3.21151905290212e-11,1.31661223911345e-10
"DTHD1",93.3989813108152,2.2276076230343,0.353192260474921,3.2346397600226e-11,1.32558382364368e-10
"C9orf50",7.49685110657961,-2.07138177564878,0.324553729174838,3.24432130833752e-11,1.3292972395641e-10
"AX747737",187.260422363538,-1.16381787100731,0.176758577139413,3.28682463293986e-11,1.34645474689985e-10
"HIST1H2BF",95.3637099141141,1.84669315145609,0.29753228849789,3.32536627570622e-11,1.36146275811292e-10
"GSTM5",183.613526414017,-1.77107840534478,0.274207495226541,3.34179540954434e-11,1.36792782682895e-10
"LINC00477",8.13009993175733,-2.06801979593638,0.326976810779289,3.3453048184837e-11,1.36910288666338e-10
"AK096335",21.3973773419712,-1.414756485471,0.220897579739691,3.37300443405248e-11,1.37964893196654e-10
"KIAA1161",100.890287985045,-1.60065516698333,0.24803762935413,3.40367709833447e-11,1.3919292358062e-10
"RP11-65J21.3:ENSG00000262454",19.13992570287,-1.51354479952419,0.233928680426308,3.44705816620555e-11,1.40859480793677e-10
"BTNL9",287.027187276948,-2.18694194900722,0.342425944294466,3.48291157615136e-11,1.42243223726471e-10
"RAMP3",683.682866876151,-1.53093008116366,0.237365672169099,3.50181382721248e-11,1.42960715730753e-10
"ZNF552",253.99642987321,-1.08745518018076,0.167242983256695,3.50432987189194e-11,1.43036187667606e-10
"HIST1H2AD",186.909143942907,1.71350716924206,0.274820638446164,3.51300415666997e-11,1.43362943811705e-10
"NUTM2G",40.0907128695614,-10.4085554605102,1.69068760664818,3.54217459757242e-11,1.4452584837192e-10
"SLC5A9",9.35993381117817,-3.28821555944692,0.521620513751531,3.62612590069741e-11,1.47782385300718e-10
"SFI1",519.889249739081,-1.00752978331741,0.154442467928947,3.64309048920016e-11,1.48417332170741e-10
"MESP1",16.3170333761041,-2.38962240098903,0.375942967531771,3.73323254623258e-11,1.51916410031143e-10
"DAZL",21.2500316700528,3.5305075647701,0.559920181819841,3.7774013930378e-11,1.53655426185195e-10
"SOD2",10867.3271828876,1.5177404692886,0.237981427848724,3.77720438730599e-11,1.53655426185195e-10
"CSN1S1",937.869491707809,4.47125827663093,0.753490690050949,3.77990854214874e-11,1.53728234884011e-10
"AL163953.3:ENSG00000237356",24.2022366505061,-1.19504200190363,0.185166423329199,3.82279370294447e-11,1.55413386637346e-10
"DKFZp434I138",5.30965469106949,-2.69018624647321,0.427810288536568,3.82727610209648e-11,1.55566107901069e-10
"CTD-2666L21.1:ENSG00000234773",18.0381692062295,-1.61631136275057,0.253280310093337,3.83882559422475e-11,1.5600597072624e-10
"AMZ1",31.5977888427416,-1.96470749032517,0.307359157210227,3.8552451699014e-11,1.56643544505207e-10
"LINC00861",158.271563239046,2.37731395349609,0.379762589873181,3.87485073505425e-11,1.57410302889344e-10
"LOC100652739",10.417422545153,-2.04078492728452,0.319689865252106,3.93702360242356e-11,1.59845097311506e-10
"OSBPL7",238.936957084364,-1.26265241857974,0.195200893339116,3.97027682683135e-11,1.61164665207341e-10
"AX748165",26.5556810469143,-1.36957976795507,0.211055371375301,3.9779862898292e-11,1.61447036829974e-10
"FTCD",26.433364190902,-2.67144297349891,0.420925940220572,4.02333787567683e-11,1.63102327765049e-10
"LMOD1",856.281509921635,-2.0135740393843,0.315735101873994,4.02303771802652e-11,1.63102327765049e-10
"CABP7",3.40567105526418,-3.10318872124629,0.500495157598634,4.02423667086195e-11,1.63107913325613e-10
"LOC642423",10.4494012474328,-5.07622296217075,0.802586144580144,4.06990707418021e-11,1.64896631986587e-10
