"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid"
"HIST1H2AM",182.70295876551,2.76271578572049,0.288422926298558,4.79598407256347e-23,8.25641177728939e-22,NA
"CCL4",126.069504965757,3.29648613271089,0.341757168426288,4.97069644997789e-23,8.5503159721008e-22,"6351"
"HLA-DRA",43244.3918905262,2.45246126278078,0.255078938562663,5.54070708244741e-23,9.47001394721654e-22,"3122"
"ABRACL",398.602962999191,1.58275975865801,0.166667719802304,7.13104344479022e-23,1.20536004851884e-21,"58527"
"CHI3L2",5487.66268942575,3.49474074168639,0.367724823932403,7.52577632277959e-23,1.26708534113225e-21,"1117"
"HMMR",80.9997179618114,3.16708269448788,0.326997441311456,8.08346406863702e-23,1.35884615986743e-21,"3161"
"DTL",86.7556901278475,2.40816692952587,0.249497277928456,8.38329176458985e-23,1.40484044089487e-21,"51514"
"LINS",504.113585041918,1.110815015512,0.113494524094519,9.2022787054798e-23,1.53847456704016e-21,NA
"MOXD1",76.8512377127239,3.06328835447465,0.318429004694072,9.55090915638201e-23,1.59427286564436e-21,"26002"
"ALG5",549.275372788679,1.49538898674555,0.154737652485759,1.09195185949689e-22,1.80724356792254e-21,"29880"
"CARD16",228.239554865618,2.13279300073011,0.223189499422699,1.10700516941927e-22,1.82792309677683e-21,"114769"
"PROK2",34.1693820712647,7.71175180885588,1.08237525524262,1.19512851295689e-22,1.96586258006178e-21,"60675"
"ATP1B3",1544.54094326958,1.16133762867361,0.119840623365404,1.23504011241137e-22,2.02839959611592e-21,"483"
"EMR3",40.4834432611063,5.79683851540178,0.638904941076006,1.24498892772197e-22,2.0427954894023e-21,NA
"FAM60A",522.762650371998,1.47982889946913,0.153169716120453,1.25668864994272e-22,2.05922078243289e-21,NA
"DLGAP5",85.4471101198293,3.44113709616352,0.362896294257948,1.26830618803257e-22,2.07508446779405e-21,"9787"
"CXCL9",2017.79979536682,4.58326122066085,0.487260843347469,1.29220816194032e-22,2.11096779991364e-21,"4283"
"HOOK1",81.1657843858778,3.81020860720427,0.395721927094579,1.34207645107604e-22,2.18576934467422e-21,"51361"
"HEXB",3785.64835794696,1.5140845417601,0.157347626658842,1.41971241548257e-22,2.30171680794538e-21,"3074"
"EMR2",452.486342258863,2.7523997449418,0.289408382029018,1.4586408437746e-22,2.35947541166951e-21,NA
"ANKRD22",67.2167409939878,5.4668270767072,0.713410267389698,1.48235398838679e-22,2.39421952020302e-21,"118932"
"ADAM28",525.501949040465,2.90119622652705,0.305708382398643,1.55477678310963e-22,2.49988978187462e-21,"10863"
"SLAMF6",355.718573761868,3.22338112524658,0.33952233885924,1.57465993861494e-22,2.52996150407302e-21,"114836"
"TM9SF2",5311.18805773181,1.05148239954268,0.108685140467942,1.73871215821319e-22,2.77688656385867e-21,"9375"
"HIAT1",1251.08114297089,1.06968101435452,0.110722847629021,2.09190813844147e-22,3.29918080435733e-21,NA
"CLEC7A",1091.08828214747,2.0652068007349,0.216677405531581,2.09529263228097e-22,3.30208874909398e-21,"64581"
"SLC38A9",471.611619559323,1.25932281647897,0.130641417563892,2.31057104749847e-22,3.61741923017053e-21,"153129"
"DKFZp686O16217",18140.6326097559,5.85403255880803,0.631639000754535,2.56184839863645e-22,3.99913304646577e-21,NA
"NCAPG",117.433298648019,2.76018296340233,0.289586366729071,2.70348175344003e-22,4.207968367573e-21,"64151"
"ENTPD1",3968.37497822999,1.20697884672513,0.125658423921823,2.72214849975611e-22,4.23087808522645e-21,"953"
"TCTEX1D1",36.1294897695445,2.61531987133089,0.26962257220312,2.88474234796029e-22,4.45772766718334e-21,NA
"PIGW",172.970382293822,1.13569889735493,0.117578444693064,2.90859248258463e-22,4.49134457343201e-21,"284098"
"LXN",614.49167292951,1.70604832178192,0.18092158815902,3.14478688659654e-22,4.83863728215532e-21,"56925"
